Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,difference
2010-01-29,1087.61,1096.45,1071.59,1073.87,5412850000,0,0,-0.012633204917203787
2010-02-01,1073.89,1089.38,1073.89,1089.19,4077610000,0,0,0.014247269273389223
2010-02-02,1090.05,1104.73,1087.96,1103.32,4749540000,0,0,0.012173753497545969
2010-02-03,1100.67,1102.72,1093.97,1097.28,4285450000,0,0,-0.0030799422170133643
2010-02-04,1097.25,1097.25,1062.78,1063.11,5859690000,0,0,-0.03111414900888594
2010-02-05,1064.12,1067.13,1044.5,1066.19,6438900000,0,0,0.0019452693305267864
2010-02-08,1065.51,1071.2,1056.51,1056.74,4089820000,0,0,-0.008230800274047153
2010-02-09,1060.06,1079.28,1060.06,1070.52,5114260000,0,0,0.009867365998151082
2010-02-10,1069.68,1073.67,1059.34,1068.13,4251450000,0,0,-0.0014490314860518608
2010-02-11,1067.1,1080.04,1060.59,1078.47,4400870000,0,0,0.010655046387405229
2010-02-12,1075.95,1077.81,1062.97,1075.51,4160680000,0,0,-0.0004089409359171472
2010-02-16,1079.13,1095.67,1079.13,1094.87,4080770000,0,0,0.014585823765440476
2010-02-17,1096.14,1101.03,1094.72,1099.51,4259230000,0,0,0.0030744247997517567
2010-02-18,1099.03,1108.24,1097.48,1106.75,3878620000,0,0,0.007024376040690452
2010-02-19,1105.49,1112.42,1100.8,1109.17,3944280000,0,0,0.0033288406046188238
2010-02-22,1110.0,1112.29,1105.38,1108.01,3814440000,0,0,-0.001792792792792801
2010-02-23,1107.49,1108.58,1092.18,1094.6,4521050000,0,0,-0.011638931277031937
2010-02-24,1095.89,1106.42,1095.5,1105.24,4168360000,0,0,0.008531878199454241
2010-02-25,1101.24,1103.5,1086.02,1102.94,4521130000,0,0,0.0015437143583597085
2010-02-26,1103.1,1107.24,1097.56,1104.49,3945190000,0,0,0.0012600852143958845
2010-03-01,1105.36,1116.11,1105.36,1115.71,3847640000,0,0,0.009363465296374156
2010-03-02,1117.01,1123.46,1116.51,1118.31,4134680000,0,0,0.001163821272862333
2010-03-03,1119.36,1125.64,1116.58,1118.79,3951320000,0,0,-0.000509219554030818
2010-03-04,1119.12,1123.73,1116.66,1122.97,3945010000,0,0,0.003440203016656066
2010-03-05,1125.12,1139.38,1125.12,1138.7,4133000000,0,0,0.012069823663253836
2010-03-08,1138.4,1141.05,1136.77,1138.5,3774680000,0,0,8.784258608565446e-05
2010-03-09,1137.56,1145.37,1134.9,1140.45,5185570000,0,0,0.0025405253349274765
